system:index,BasinID,change2,deposition2,erosion2,.geo
0000000000000000000a,87861,-0.3559705813806896,0.7772466945659565,-1.1332172759466461,"{""type"":""Polygon"",""coordinates"":[[[119.09420340976152,-19.99275998612291],[119.0978083117947,-19.984855224625687],[119.09300178633337,-19.969206011461925],[119.09849493319716,-19.96355901231199],[119.11051119258073,-19.96388169788119],[119.12647575054714,-19.968076594296384],[119.14261191544828,-19.9784021020339],[119.15016500693925,-19.986952459134823],[119.15153830407856,-20.00219670583961],[119.17411180109629,-19.998567213812],[119.17179435844018,-19.979047467802264],[119.18054905295712,-19.955975538793222],[119.19359534046103,-19.954200626921565],[119.21367969935582,-19.955814179034665],[119.23153245596052,-19.96097743027057],[119.24406382299811,-19.968076611908963],[119.25299020204403,-19.9735621057351],[119.28182924570244,-19.98049942414606],[119.3202814686112,-19.989210981207524],[119.32285635766529,-19.987920394064055],[119.28972571693943,-19.9767887868383],[119.26740975880953,-19.973078104490128],[119.2507585687841,-19.96662452459676],[119.22140445833719,-19.94984395025414],[119.18381064240673,-19.949359894679247],[119.15960641616539,-19.954846017457577],[119.12046757395552,-19.95952526390835],[119.10415979632744,-19.95710502522232],[119.08836695290411,-19.96162281584834],[119.08407540987498,-19.975336822122873],[119.08544868485936,-19.99292130330231],[119.079955510578,-20.004858223884458],[119.09420340976152,-19.99275998612291]]]}"
0000000000000000000b,132009,0.007757357177734375,0.00861928515625,-8.61927978515625E-4,"{""type"":""Polygon"",""coordinates"":[[[50.39606576834439,-15.613751850520078],[50.39984227940887,-15.602840013219224],[50.408597019719394,-15.586471117840254],[50.41288853205229,-15.583660198610877],[50.41786672587114,-15.575061707517703],[50.415978441701974,-15.574069593853324],[50.41177508616445,-15.581342691481117],[50.40567837216927,-15.586061272992383],[50.3994985565795,-15.600115456297052],[50.39675199545068,-15.606563507673481],[50.394691997252444,-15.612184722025178],[50.39606576834439,-15.613751850520078]]]}"
0000000000000000000c,135103,0.9910328147726619,1.7424237129095346,-0.7513908981368727,"{""type"":""Polygon"",""coordinates"":[[[-83.8143793405849,11.077812145888357],[-83.78176366881884,11.012778256194242],[-83.74228156177672,10.957505067598177],[-83.71859232997198,10.943685146101155],[-83.7065760231771,10.939640106380667],[-83.69009649489306,10.936943477888237],[-83.67087044356165,10.930201688641983],[-83.64855443970907,10.912335062127093],[-83.63344822560994,10.893793231346137],[-83.61490885106633,10.859740589253958],[-83.59568275839574,10.814555744571953],[-83.58516755490011,10.770517372663448],[-83.57452455439477,10.723632521258192],[-83.55426854252471,10.663582386388974],[-83.53126588487291,10.606557482556692],[-83.50105348858756,10.537708607474517],[-83.4528742113583,10.447051144780767],[-83.4206019115391,10.39606464860354],[-83.40027800112527,10.367716328518993],[-83.40027800112527,10.3748083483058],[-83.4459399188841,10.451212413231909],[-83.47821222879325,10.512992010972189],[-83.51098280520272,10.574693322244155],[-83.53467207062648,10.634423521349074],[-83.55844714979284,10.694732477133284],[-83.57286676868601,10.743982904477976],[-83.580076518312,10.775013300574821],[-83.57938982207894,10.797609516040094],[-83.58625628463848,10.812785120682676],[-83.59758599849987,10.838413296118818],[-83.60634069639828,10.851395166095438],[-83.61423715350988,10.868759653151155],[-83.6288837420168,10.89363824167133],[-83.64055669363985,10.912207551669043],[-83.65549124734125,10.924174916789406],[-83.67248572108952,10.93580464385801],[-83.68724862793128,10.93900696185835],[-83.70613131466074,10.94372614110324],[-83.72707400912606,10.952827090315418],[-83.7418369464972,10.965635454577452],[-83.76775781611005,10.99815942157276],[-83.78818547493569,11.030364028432485],[-83.81112381845263,11.077222000629085],[-83.8143793405849,11.077812145888357]]]}"
0000000000000000000d,145789,0.011526495422363281,0.011526495422363281,0.0,"{""type"":""Polygon"",""coordinates"":[[[-80.92088718106031,7.434854581458537],[-80.91949249152876,7.432599159196296],[-80.91681029510607,7.4336629856697245],[-80.91582321394029,7.440088761858689],[-80.91818123492389,7.447869217196991],[-80.92607772925896,7.459613761848498],[-80.93920978611449,7.471272931084245],[-80.94015388966866,7.469145317318478],[-80.92436105668267,7.453571320314812],[-80.92015541089884,7.443273432377475],[-80.92058449973068,7.438592494031244],[-80.92187200548508,7.436124345362152],[-80.92088718106031,7.434854581458537]]]}"
0000000000000000000e,147544,8.317713545736442,11.168244181882425,-2.850530636145982,"{""type"":""Polygon"",""coordinates"":[[[43.46215754614955,-21.642973371335486],[43.46627743062408,-21.64297338540905],[43.47383054526265,-21.61776081740138],[43.47520384883484,-21.59413997505686],[43.46730738503065,-21.54768285358948],[43.462500919660734,-21.52884122385888],[43.45941098692075,-21.508719525949722],[43.46284421731644,-21.49147007551162],[43.46387416951209,-21.458562848871942],[43.471770592068076,-21.433367834838197],[43.474173837989476,-21.40556173363745],[43.48138361155411,-21.385103323428496],[43.488593438372696,-21.356968295491896],[43.499236452333335,-21.335223939437025],[43.543181708702235,-21.303880796687128],[43.574767433571786,-21.28212854787025],[43.59262022344504,-21.273490680188925],[43.62077270098416,-21.2690116149756],[43.64446193338998,-21.27445052917256],[43.667121226919306,-21.27509037736289],[43.71312651691462,-21.26965153272915],[43.740248955805875,-21.26773190099228],[43.72548611012959,-21.256533547396305],[43.70385678538268,-21.255573595897648],[43.640685405556894,-21.25941315543103],[43.58026058326507,-21.266452130859598],[43.51159604169077,-21.2878868076068],[43.48825009859767,-21.3064396406394],[43.46078424879367,-21.366240683459836],[43.436751679929486,-21.397423777767173],[43.417182290347675,-21.430664484351695],[43.44121484120339,-21.493609218720874],[43.45666442267341,-21.551417726946916],[43.46490417380671,-21.587496446397314],[43.45735102286729,-21.636080052672646],[43.46215754614955,-21.642973371335486]]]}"
0000000000000000000f,158128,0.0014548697509765623,0.0014548697509765623,0.0,"{""type"":""Polygon"",""coordinates"":[[[150.1743176006377,-35.858382238260354],[150.15835312278955,-35.870902608444254],[150.14856839149118,-35.89079198435803],[150.1494267153341,-35.905809981328],[150.15440485162603,-35.90942501010395],[150.15869644069247,-35.90984212421873],[150.15509155696085,-35.914569185892674],[150.1566364577702,-35.92847071318076],[150.15955473918152,-35.93347462617187],[150.16315956273561,-35.93291866512561],[150.1607563660215,-35.93013870977025],[150.158181464158,-35.92152023626012],[150.15835312278955,-35.914152143235384],[150.16247299391458,-35.90928598075489],[150.16109968989466,-35.90622716178479],[150.15440485162603,-35.9058679480513],[150.1521732815399,-35.902530935857804],[150.15148659071693,-35.89390942354101],[150.15560652197746,-35.88153180041562],[150.16350289257727,-35.86998684500727],[150.1720859740606,-35.86289216213841],[150.17637749366042,-35.85913590038796],[150.1743176006377,-35.858382238260354]]]}"
00000000000000000010,162388,0.06282014099121093,0.06282014099121093,0.0,"{""type"":""Polygon"",""coordinates"":[[[131.3492950622955,33.573348941153334],[131.3540157696072,33.57370650261872],[131.35968057953778,33.577425029801844],[131.36440132392346,33.57642389537791],[131.36689036586165,33.57306284551083],[131.37152523766602,33.5739925096278],[131.3739284742577,33.576280872320716],[131.3800224679711,33.57563731592591],[131.39478537225114,33.57570878918791],[131.3965020046485,33.576781398484755],[131.38388486784973,33.57792556782748],[131.37641762512644,33.58100038805962],[131.37015194576006,33.58150094158528],[131.3612255249842,33.58021384014842],[131.35307162956687,33.576423923933866],[131.3492950622955,33.573348941153334]]]}"
00000000000000000011,165985,0.035703277526855495,0.06992298126220706,-0.03421970373535156,"{""type"":""Polygon"",""coordinates"":[[[23.37978612106179,-34.05327409567105],[23.386652601352196,-34.044597985349405],[23.396952228417824,-34.03336036591602],[23.415491716026548,-34.02112528265265],[23.44965227767191,-34.0056155624188],[23.421671484281323,-34.014011087527926],[23.401415451172625,-34.02582034764658],[23.386137579282135,-34.03713009251845],[23.380987789966362,-34.04260661036065],[23.374550426869277,-34.04815385701889],[23.377726189847007,-34.05085628854801],[23.37978612106179,-34.05327409567105]]]}"
00000000000000000012,211649,-0.022950052551269536,0.0,-0.022950052551269536,"{""type"":""Polygon"",""coordinates"":[[[168.2968522039659,-46.477617841555826],[168.29891217854066,-46.48057308758319],[168.30371866521367,-46.48045490514444],[168.3030319487844,-46.47489894228371],[168.30492032641502,-46.466504733995954],[168.2982255211979,-46.462957546436],[168.28964238103737,-46.45976482175546],[168.29753888020852,-46.4585823292958],[168.3226014036325,-46.457281490173855],[168.33169946696495,-46.454443252329185],[168.33667764369383,-46.450895307485375],[168.3359909758103,-46.44734705399497],[168.33084117609974,-46.44687395590906],[168.32740792580165,-46.44994914007638],[168.32088475529883,-46.454206723358496],[168.3092118260955,-46.45538937406438],[168.29256070767414,-46.45373367350837],[168.27968609753336,-46.459291809219174],[168.27024464023634,-46.45621717418497],[168.26063159481347,-46.46142034321025],[168.26972969883468,-46.46591353381409],[168.27590948203903,-46.46591359830723],[168.29084401131874,-46.46733240670243],[168.29462063768256,-46.47489891700979],[168.2968522039659,-46.477617841555826]]]}"
00000000000000000013,213107,0.039084315124511694,0.039084315124511694,0.0,"{""type"":""Polygon"",""coordinates"":[[[118.43749825737063,24.68452443354481],[118.43663987847864,24.681326903632137],[118.43904316780268,24.676569467545146],[118.4417039024068,24.669861876141688],[118.44814121759998,24.66798998545955],[118.453119427303,24.676179489134764],[118.44376381688976,24.682028817207666],[118.43749825737063,24.68452443354481]]]}"
